ASD Acronym,Designation,Title of Standard,Abstract,Link
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.7)",Visit the link for more information,https://unece.org/es/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev7-0
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.7)",Visit the link for more information,https://unece.org/es/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev7
GHS,Guidance,"Recommendations on the Transport of Dangerous Goods, Manual of Tests and Criteria, Amendment 1",Visit the link for more information,https://unece.org/fr/transport/publications/recommendations-transport-dangerous-goods-manual-tests-and-criteria-0
GHS,Guidance,"Recommendations on the Transport of Dangerous Goods, Manual of Tests and Criteria, Amendment 2",Visit the link for more information,https://unece.org/fr/transport/publications/recommendations-transport-dangerous-goods-manual-tests-and-criteria-1
GHS,Guidance,"Recommendations on the Transport of Dangerous Goods, Manual of Tests and Criteria, Amendment 2",Visit the link for more information,https://unece.org/es/transport/publications/recommendations-transport-dangerous-goods-manual-tests-and-criteria-1
GHS,Guidance,"Recommendations on the Transport of Dangerous Goods, Manual of Tests and Criteria, Amendment 2",Visit the link for more information,https://unece.org/ru/transport/publications/recommendations-transport-dangerous-goods-manual-tests-and-criteria-1
GHS,Guidance,"Recommendations on the Transport of Dangerous Goods, Manual of Tests and Criteria, Amendment 2",Visit the link for more information,https://unece.org/ar/transport/publications/recommendations-transport-dangerous-goods-manual-tests-and-criteria-0
GHS,Guidance,"Globally Harmonized System of Classification and Labelling of Chemicals (GHS, Rev.4)",Visit the link for more information,https://unece.org/zh-hans/transport/publications/globally-harmonized-system-classification-and-labelling-chemicals-ghs-rev4
GHS,Guidance,"Recommendations on the Transport of Dangerous Goods, Manual of Tests and Criteria, Amendment 1",Visit the link for more information,https://unece.org/zh-hans/transport/publications/recommendations-transport-dangerous-goods-manual-tests-and-criteria-0
GHS,Guidance,"Recommendations on the Transport of Dangerous Goods, Manual of Tests and Criteria, Amendment 2",Visit the link for more information,https://unece.org/zh-hans/transport/publications/recommendations-transport-dangerous-goods-manual-tests-and-criteria-1
GHS,Guidance,International Regulatory Cooperation: the Case of the United Nations Economic Commission for Europe,Visit the link for more information,https://unece.org/trade/publications/international-regulatory-cooperation-case-united-nations-economic-commission
GHS,Guidance,Recommendations on the Transport of Dangerous Goods – Manual of Tests and Criteria,Visit the link for more information,https://unece.org/transport/publications/recommendations-transport-dangerous-goods-manual-tests-and-criteria-2
GHS,Guidance,75 Years of Inland Transport Committee - 75 Documents that Changed the World of Transport,Visit the link for more information,https://unece.org/transport/publications/75-years-inland-transport-committee
GHS,Guidance,Recomendaciones relativas al transporte de mercancías peligrosas - Manual de Pruebas y Criterios,Visit the link for more information,https://unece.org/es/transport/publications/recomendaciones-relativas-al-transporte-de-mercancias-peligrosas-manual-de
GHS,Guidance,Recommandations relatives au transport de marchandises dangereuses - Manuel d’épreuves et de critères,Visit the link for more information,https://unece.org/fr/transport/publications/recommandations-relatives-au-transport-de-marchandises-dangereuses-manuel
GHS,Guidance,Growing Challenges for Sustainable Development: Can the UNECE Region Turn the Tide in 2023?,Visit the link for more information,https://unece.org/statistics/publications/growing-challenges-sustainable-development-can-unece-region-turn-tide-2023
GHS,Guidance,Air Pollution Studies No19: POPs,Visit the link for more information,https://unece.org/environment-policy/publications/air-pollution-studies-no19-pops
GHS,Guidance,UNECE NEXUS: Sustainable Mobility and Smart Connectivity,Visit the link for more information,https://unece.org/unece-publications/publications/unece-nexus-sustainable-mobility-and-smart-connectivity
GHS,Guidance,3rd Environmental Performance Review of Georgia,Visit the link for more information,https://unece.org/environment-policy/publications/3rd-environmental-performance-review-georgia
